nilai_sisdig,nilai_daspro,nilai_alpro,nilai_matdis,nilai_arkom,nilai_basdat,nilai_metnum,nilai_strukdat,nilai_sbd,nilai_so,nilai_jarkom,nilai_ki,nilai_rpl,nilai_si,nilai_pb,status_kelulusan
"B-","B-","B","A","B+","B+","B+","B","B","C+","B+","D","B+","B","C+","TERLAMBAT"
"C+","B-","C+","B","C","B+","B","C+","B+","C","B-","B","C","B","B-","TERLAMBAT"
"C+","D","A-","A-","A","A","A-","A-","B+","B","A","B-","A","B+","B-","TERLAMBAT"
"A-","B","A","B-","B+","B","C","A","A-","B+","B","B+","B-","B","C+","TERLAMBAT"
"B","A","B","C+","B-","B","B-","B+","A-","B-","B-","C+","B","B","B-","TERLAMBAT"
"A-","B+","B","C+","E","B-","B","A-","B","D","D","A-","B","B+","B-","TERLAMBAT"
"B-","B-","B","B","B+","A-","C+","B","B+","B-","A-","B","B+","A-","A-","TERLAMBAT"
"C+","B","B-","B-","C+","B-","C","B","B-","D","C","B","B-","B-","B","TERLAMBAT"
"E","C+","B-","C","C","B","C","A","A-","D","C+","B-","B","B","B","TERLAMBAT"
"E","B+","B-","B-","B-","C","C+","B-","B+","C+","D","D","B-","B+","C","TERLAMBAT"
"B+","C+","B","B-","B","B","B+","A-","B","B-","B-","A-","B+","B+","C+","TERLAMBAT"
"C","C+","B","B-","B","B-","C+","B+","A-","C+","B+","C+","B-","B","B+","TERLAMBAT"
"C+","A-","B-","B","A-","A-","B-","B","B+","B","A","B","B","B+","C","TERLAMBAT"
"D","B-","C+","B+","B+","C","C+","C+","B+","C","D","B","B","B+","B","TERLAMBAT"
"C","B","C+","B-","C","A-","C+","C+","C+","C","D","B","D","B+","C+","TERLAMBAT"
"C","B+","B-","A-","B+","B+","E","B","B","D","B","B-","C+","B","B-","TERLAMBAT"
"D","B+","B-","C+","B","B+","C+","C","B+","C","C","B","C+","B","C+","TERLAMBAT"
"B-","B","B","B","C","B-","C+","A-","B+","C","B-","C","B","B","B-","TERLAMBAT"
"A-","A","B","B-","C","B+","C+","B+","A-","C","B-","C+","B","C+","C","TERLAMBAT"
"A-","E","B","B","B-","B-","B-","A","A-","B-","C","B","B","B","C","TERLAMBAT"
"C+","D","B-","C+","B","B+","C","B-","B+","C+","A","C+","B","B","A","TERLAMBAT"
